"Institution","Specimens Unpublished","Specimens Published","Percentage Complete"
"University of Lodz, Department of Invertebrate Zoology and Hydrobiology",2691,7089,72.5
"Naturalis Biodiversity Center",2280,3,0.1
"SNSB, Zoologische Staatssammlung Muenchen",2279,0,0
"Research Center in Biodiversity and Genetic Resources",967,838,46.4
"Zoologisches Forschungsmuseum Alexander Koenig",1710,0,0
"NTNU University Museum, Department of Natural History",948,603,38.9
"Natural History Museum, London",1467,39,2.6
"V. N. Karazin Kharkiv National University",92,1129,92.5
"Research Collection of Kai Berggren",114,765,87
"Universita di Firenze, Museo di Storia Naturale",831,0,0
"Finnish Museum of Natural History",766,0,0
"Natural History and Science Museum of the University of Porto",590,0,0
"Hungarian Natural History Museum",570,0,0
"Museo Nacional de Ciencias Naturales",294,276,48.4
"University of Oslo, Natural History Museum",477,0,0
"Aristotle University of Thessaloniki",476,0,0
"Universite de Mons",26,449,94.5
"University of Barcelona, Department of Evolutionary Biology, Ecology and Environmental Sciences",100,280,73.7
"National Museum of Natural History and Science, Lisbon",306,0,0
"Museo Zoologico La Specola",284,0,0
"University of Bergen, Natural History Collections",278,0,0
"Research Collection of Martin Corley",244,0,0
"University of Bergen, University Museum of Bergen",190,0,0
"National Academy of Science of Ukraine, I.I. Schmalhausen Institute of Zoology",8,180,95.7
"Universita di Firenze",120,0,0
"Research Collection of Anders Hobaek",95,0,0
"Universidad Autonoma de Madrid",95,0,0
"Universitat Autonoma de Barcelona",37,58,61.1
"Research Collection of H.H. Hushtan",36,58,61.7
"Research Collection of N. Polchaninova",5,88,94.6
"University of Copenhagen, Natural History Museum of Denmark, Zoological Museum",14,0,0
"Senckenberg Research Institute and Natural History Museum",13,0,0
"Naturhistorisches Museum Wien",5,0,0
"Natural History Museum of Crete - University of Crete, Greece",4,0,0
"Zoological Museum of Kyiv University",1,0,0
